ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_DIN_1,20,1_HAL_1,8,3,5
1_DIN_1,20,1_LIV_1,1,3,8
1_KIT_1,3,1_LIV_1,1,7,8
1_HAL_1,8,1_LIV_1,1,5,8
1_HAL_1,8,1_CLO_2,11,5,2
1_HAL_1,8,1_BAT_1,4,5,0
1_HAL_1,8,1_DIN_1,20,5,3
1_BAT_1,4,1_HAL_1,8,0,5
1_STA_1,7,1_HAL_2,8,11,6
1_POR_1,18,1_HAL_2,8,10,6
1_GAR_1,19,1_UTI_1,6,4,12
1_LIV_1,1,1_KIT_1,3,8,7
1_LIV_1,1,1_HAL_1,8,8,5
1_LIV_1,1,1_HAL_2,8,8,6
1_LIV_1,1,1_PAN_1,9,8,9
1_LIV_1,1,1_DIN_1,20,8,3
1_LIV_1,1,1_UTI_1,6,8,12
1_HAL_2,8,1_LIV_1,1,6,8
1_HAL_2,8,1_CLO_1,11,6,1
1_HAL_2,8,1_STA_1,7,6,11
1_HAL_2,8,1_POR_1,18,6,10
1_UTI_1,6,1_GAR_1,19,12,4
1_UTI_1,6,1_LIV_1,1,12,8
1_CLO_1,11,1_HAL_2,8,1,6
1_PAN_1,9,1_LIV_1,1,9,8
1_CLO_2,11,1_HAL_1,8,2,5
